觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2020/5/14,2357,華碩,129.6405334,"【築底驗證成功】逆勢過渡標的?必買進, 爆發力強",25.93%,99.3% (2021-05-07),-2.88% $$2020-05-18$$,U底籌碼沉澱突破,,,,,,,,,,,-1.52%,-0.03%,0.91,無,有 (最高量比 2.68x),127.82,135.25,2.45%,2.27x,26,"26/60, 門檻15~30天"
2018/6/5,9910,豐泰,69.33802032,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",66.77941895,97.95% (2019-05-20),-0.74% $$2018-06-19$$,V轉選股,68.21,,68.18,,,,69.21,0.68%,-0.05%,1.08%,,,,,,,,,,,
2025/7/14,1519,華城,488.9321289,第一型：短線強勢動能與均線交叉發散?可買進,438.5184631,97.4% (2026-01-22),-0.65% $$2025-07-16$$,右側突破策略,463.81,457.64,396.34,6.84%,18.88%,上,,,,,,,,,,,,,,,
2019/12/31,1590,亞德客-KY,411.2397156,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",381.7080078,96.87% (2020-12-09),-29.15% $$2020-03-19$$,右側突破策略,392.46,389.25,380.73,5.65%,6.68%,上,,,,,,,,,,,,,,,
2018/9/17,6176,瑞儀,40.81189728,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",37.45022202,96.77% (2019-09-16),-10.84% $$2018-10-11$$,右側突破策略,39.61,39.22,36.77,4.07%,8.87%,上,,,,,,,,,,,,,,,
2021/2/17,2376,技嘉,62.88628387,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",56.90063477,96.72% (2021-12-13),-0.59% $$2021-03-03$$,右側突破策略,58.82,58.51,58.03,7.48%,9.09%,上,,,,,,,,,,,,,,,
2021/6/3,2915,潤泰全,49.1111412,第一型：短線強勢動能與均線交叉發散?可買進,47.88772964,95.21% (2022-05-04),-2.49% $$2021-06-21$$,右側突破策略,48.55,48.33,47.73,1.62%,15.19%,上,,,,,,,,,,,,,,,
2015/10/12,5434,崇越,27.6381855,【築底驗證成功】逆勢黃金狙擊?必買進,5.53%,94.59% (2016-09-09),-0.6% $$2015-10-13$$,U底籌碼沉澱突破,,,,,,,,,,,-3.82%,-0.02%,0.94,有,有 (最高量比 2.23x),27.43,28.72,1.93%,1.58x,28,"28/60, 門檻15~30天"
2019/9/18,6669,緯穎,365.888916,第一型：短線強勢動能與均線交叉發散?可買進,339.1461792,93.36% (2020-05-11),-3.21% $$2019-10-01$$,右側突破策略,356.33,354.52,317.74,3.21%,11.77%,上,,,,,,,,,,,,,,,
2025/8/12,2049,上銀,212.2605286,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",202.4179993,91.8% (2026-05-26) (未滿1年),-15.22% $$2025-11-24$$ (未滿1年),V轉選股,212.06,,212.4,,,,238.82,0.52%,0.65%,0.37%,,,,,,,,,,,
2025/7/28,2049,上銀,212.7576294,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",197.9962463,91.36% (2026-05-26),-15.42% $$2025-11-24$$,V轉選股,213.55,,213.57,,,,238.2,2.12%,1.76%,0.00%,,,,,,,,,,,
2025/7/30,2049,上銀,213.254715,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",197.9962463,90.91% (2026-05-26),-15.62% $$2025-11-24$$,V轉選股,213.65,,213.89,,,,238.27,0.51%,2.28%,0.01%,,,,,,,,,,,
2020/7/30,1476,儒鴻,288.2070313,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",267.2390442,90.58% (2021-07-07),-3.71% $$2020-08-03$$,右側突破策略,273.9,271.83,257.39,6.02%,7.56%,上,,,,,,,,,,,,,,,
2025/8/25,2049,上銀,213.7518158,【築底驗證成功】A級多頭順勢跟隨?可買進,42.75%,90.47% (2026-05-26) (未滿1年),-15.81% $$2025-11-24$$ (未滿1年),U底籌碼沉澱突破,,,,,,,,,,,-10.56%,0.02%,0.91,無,有 (最高量比 2.19x),211.65,223.05,1.71%,1.67x,23,"23/60, 門檻15~30天"
2021/11/1,2618,長榮航,16.1027832,第一型：短線強勢動能與均線交叉發散?可買進,14.87356281,90.08% (2022-04-14),4.33% $$2021-11-02$$,右側突破策略,15.33,15.17,15.07,6.13%,11.88%,上,,,,,,,,,,,,,,,
2025/9/10,2049,上銀,214.7460175,【築底驗證成功】S級多頭極致收斂?必買進,42.95%,89.58% (2026-05-26) (未滿1年),-16.2% $$2025-11-24$$ (未滿1年),U底籌碼沉澱突破,,,,,,,,,,,-10.31%,0.01%,0.81,有,有 (最高量比 4.57x),205.64,219.12,0.63%,1.4x,18,"18/60, 門檻15~30天"
2025/7/25,2049,上銀,215.2431183,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",197.9962463,89.15% (2026-05-26),-16.4% $$2025-11-24$$,V轉選股,213.75,,213.71,,,,238.13,3.39%,1.57%,-0.02%,,,,,,,,,,,
2025/8/11,2049,上銀,215.2431183,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",201.9266968,89.15% (2026-05-26),-16.4% $$2025-11-24$$,V轉選股,211.66,,212.83,,,,238.77,0.09%,0.94%,0.32%,,,,,,,,,,,
2025/7/24,2049,上銀,215.7402039,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",197.9962463,88.71% (2026-05-26),-16.59% $$2025-11-24$$,V轉選股,213.16,,213.72,,,,238.06,3.89%,1.35%,-0.05%,,,,,,,,,,,
2025/7/23,2049,上銀,216.2373047,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",197.9962463,88.28% (2026-05-26),-16.78% $$2025-11-24$$,V轉選股,212.56,,213.77,,,,237.98,5.06%,1.00%,-0.07%,,,,,,,,,,,
2021/7/7,3037,欣興,122.6003113,第一型：短線強勢動能與均線交叉發散?可買進,110.5192719,87.26% (2022-02-25),-14.48% $$2021-10-13$$,右側突破策略,116.6,115.91,99.54,5.77%,16.21%,上,,,,,,,,,,,,,,,
2019/3/26,6472,保瑞,32.15364075,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",30.33362007,87.24% (2019-10-02),-1.13% $$2019-04-29$$,右側突破策略,30.92,30.71,29,4.70%,7.51%,上,,,,,,,,,,,,,,,
2025/9/9,2049,上銀,219.2198944,【築底驗證成功】S級多頭極致收斂?必買進,43.84%,85.71% (2026-05-26) (未滿1年),-17.91% $$2025-11-24$$ (未滿1年),U底籌碼沉澱突破,,,,,,,,,,,-8.42%,0.01%,0.84,有,有 (最高量比 4.57x),205.86,219.12,0.39%,3.83x,19,"19/60, 門檻15~30天"
2023/2/23,2313,華通,40.2881813,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",38.83991241,85.24% (2024-02-22),-6.1% $$2023-03-16$$,V轉選股,40.6,,41.02,,,,41.03,0.94%,0.35%,0.31%,,,,,,,,,,,
2025/8/7,6515,穎崴,1131.631958,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",992.6596069,846.93% (2026-04-20),-3.51% $$2025-08-22$$,V轉選股,1098.87,,1097.54,,,,1126.36,1.19%,8.10%,0.95%,,,,,,,,,,,
2020/7/7,1477,聚陽,116.3709641,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",107.2650375,84.43% (2021-05-28),-3.99% $$2020-07-10$$,右側突破策略,112.27,111.02,95.76,4.82%,13.09%,上,,,,,,,,,,,,,,,
2023/5/30,3533,嘉澤,876.3890381,第一型：短線強勢動能與均線交叉發散?可買進,809.3231201,84.17% (2024-05-24),-24.62% $$2023-08-07$$,右側突破策略,836.51,831.03,808.16,5.46%,10.91%,上,,,,,,,,,,,,,,,
