代號,
1101,
1102,
1229,
1319,
1326,
1402,
1476,
1477,
1503,
1504,
1513,
1519,
1590,
1605,
1722,
1795,
1802,
2006,
2027,
2049,
2105,
2206,
2258,
2313,
2324,
2344,
2347,
2353,
2354,
2356,
2368,
2371,
2376,
2377,
2385,
2404,
2409,
2449,
2451,
2474,
2539,
2542,
2609,
2610,
2618,
2633,
2645,
2646,
2801,
2812,
2834,
2845,
2915,
3005,
3023,
3036,
3037,
3044,
3406,
3443,
3481,
3533,
3702,
3706,
4583,
4763,
4938,
4958,
5269,
5434,
5871,
5876,
6139,
6176,
6191,
6239,
6285,
6409,
6415,
6442,
6446,
6472,
6515,
6526,
6531,
6770,
6781,
6789,
6805,
6890,
7799,
8046,
8210,
8454,
8464,
9904,
9910,
9917,
9941,
9945,
1216,統一
1301,台塑
1303,南亞
2002,中鋼
2059,川湖
2207,和泰車
2301,光寶科
2303,聯電
2308,台達電
2317,鴻海
2327,國巨
2330,台積電
2345,智邦
2357,華碩
2360,致茂
2379,瑞昱
2382,廣達
2383,台光電
2395,研華
2408,南亞科
2412,中華電
2454,聯發科
2603,長榮
2615,萬海
2880,華南金
2881,富邦金
2882,國泰金
2883,凱基金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新新光金
2890,永豐金
2891,中信金
2892,第一金
2912,統一超
3008,大立光
3017,奇鋐
3034,聯詠
3045,台灣大
3231,緯創
3653,健策
3661,世芯-KY
3665,貿聯-KY
3711,日月光投控
4904,遠傳
5880,合庫金
6505,台塑化
6669,緯穎
6919,康霈
