股票名稱,股票代號,今日收盤,年線位置,距離年線幅,狀態,成交量
聯華,1229,45.05,46.43,-2.96%,年線下方準備突破,3490277
士電,1503,178.5,181.69,-1.75%,年線下方準備突破,1715729
東和鋼鐵,2006,67.8,65.96,2.8%,年線上方強勢整理,2887461
大成鋼,2027,36.85,37.68,-2.2%,年線下方準備突破,71501590
漢唐,2404,821.0,819.21,0.22%,年線上方強勢整理,3419364
台中銀,2812,20.55,21.17,-2.94%,年線下方準備突破,11282223
臺企銀,2834,15.0,15.4,-2.58%,年線下方準備突破,25290778
遠東銀,2845,12.45,12.82,-2.91%,年線下方準備突破,5280640
和碩,4938,76.2,75.09,1.48%,年線上方強勢整理,12914169
中租-KY,5871,109.5,112.35,-2.54%,年線下方準備突破,10271361
中保科,9917,113.5,111.66,1.65%,年線上方強勢整理,642485
