代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量
1101,台泥,年線下上3%以內,23.7,23.68,0.1%,年線上方強勢整理,15832509
1102,亞泥,年線下上3%以內,36.55,36.53,0.05%,年線上方強勢整理,11488969
1216,統一,年線下上3%以內,77.8,75.77,2.68%,年線上方強勢整理,22603259
1519,華城,年線下上3%以內,773.0,769.2,0.49%,年線上方強勢整理,2977170
1722,台肥,年線下上3%以內,48.95,48.34,1.26%,年線上方強勢整理,3261724
2002,中鋼,年線下上3%以內,19.0,19.19,-0.97%,年線下方準備突破,26255550
2006,東和鋼鐵,年線下上3%以內,68.6,66.88,2.58%,年線上方強勢整理,1065987
2105,正新,年線下上3%以內,32.55,33.43,-2.62%,年線下方準備突破,14467556
2474,可成,年線下上3%以內,196.0,199.71,-1.86%,年線下方準備突破,10708015
2603,長榮,年線下上3%以內,195.5,195.05,0.23%,年線上方強勢整理,8533574
2615,萬海,年線下上3%以內,80.0,80.28,-0.35%,年線下方準備突破,11466322
2633,台灣高鐵,年線下上3%以內,26.6,27.13,-1.96%,年線下方準備突破,5322173
2812,台中銀,年線下上3%以內,20.55,20.99,-2.08%,年線下方準備突破,11040653
2912,統一超,年線下上3%以內,240.0,234.47,2.36%,年線上方強勢整理,4349150
2915,潤泰全,年線下上3%以內,52.4,51.26,2.22%,年線上方強勢整理,1331115
5876,上海商銀,年線下上3%以內,41.7,40.82,2.16%,年線上方強勢整理,7781494
6191,精成科,年線下上3%以內,107.0,108.93,-1.77%,年線下方準備突破,11297822
