代號,名稱,收盤,距離年線,糾結度,量比,狀態
5880,合庫金,23.8,-1.98%,2.13%,0.95x,年線下方待突破
2027,大成鋼,36.95,-1.84%,0.48%,0.62x,年線下方待突破
2633,台灣高鐵,26.8,-2.75%,2.84%,1.0x,年線下方待突破
2002,中鋼,19.5,0.28%,1.67%,0.7x,年線上方整理
3045,台灣大,109.5,-0.01%,1.47%,0.78x,年線下方待突破
2845,遠東銀,12.55,-2.14%,1.53%,1.18x,年線下方待突破
5871,中租-KY,109.0,-3.0%,4.81%,0.53x,年線下方待突破
2834,臺企銀,15.2,-1.32%,3.41%,0.91x,年線下方待突破
2884,玉山金,32.3,1.09%,3.53%,0.76x,年線上方整理
2812,台中銀,20.75,-2.04%,0.58%,1.1x,年線下方待突破
2892,第一金,28.45,-0.21%,2.86%,1.05x,年線下方待突破
2412,中華電,134.0,1.18%,1.01%,1.19x,年線上方整理
