代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,糾結度,量比
2404,漢唐,年線下上3%以內,829.0,822.63,0.77%,年線上方強勢整理,2650770,,
3231,緯創,年線下上3%以內,125.0,126.99,-1.57%,年線下方準備突破,15663058,,
2881,富邦金,年線下上3%以內,87.8,88.06,-0.3%,年線下方準備突破,10113620,,
2317,鴻海,年線下上3%以內,193.0,198.1,-2.58%,年線下方準備突破,37503568,,
2301,光寶科,年線下上3%以內,145.0,141.23,2.67%,年線上方強勢整理,11205949,,
2395,研華,年線下上3%以內,323.5,320.92,0.8%,年線上方強勢整理,2038229,,
1503,士電,年線下上3%以內,179.0,182.19,-1.75%,年線下方準備突破,1061396,,
2603,長榮,年線下上3%以內,202.5,199.23,1.64%,年線上方強勢整理,6011232,,
2027,大成鋼,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",38.4,37.62,2.06%,年線上方整理,61239163,0.45%,1.12x
2412,中華電,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",134.0,132.48,1.15%,年線上方整理,7496636,0.97%,0.79x
2886,兆豐金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",39.25,40.46,-3.0%,年線下方待突破,21454526,2.0%,0.71x
5880,合庫金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",23.65,24.29,-2.62%,年線下方待突破,9246456,2.01%,0.53x
2892,第一金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",28.4,28.53,-0.45%,年線下方待突破,17820415,2.98%,0.87x
3045,台灣大,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",109.5,109.49,0.01%,年線上方整理,5673613,1.6%,0.9x
2002,中鋼,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",19.5,19.45,0.27%,年線上方整理,28468476,1.67%,0.61x
2884,玉山金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",32.15,31.98,0.54%,年線上方整理,20530689,3.55%,0.82x
2845,遠東銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",12.55,12.83,-2.16%,年線下方待突破,3391557,1.4%,0.7x
2834,臺企銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",15.25,15.41,-1.06%,年線下方待突破,17179638,3.18%,0.8x
2812,台中銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",20.75,21.19,-2.09%,年線下方待突破,6542119,0.51%,0.71x
