代號,名稱,觸發策略,收盤,年線位置,負乖離率,年線20日斜率,狀態
1216,統一,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",74.5,75.72,-1.62%,-0.31%,年線走平築底中
1229,聯華,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",41.900001525878906,45.38,-7.67%,-0.08%,年線走平築底中
1477,聚陽,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",221.5,262.69,-15.68%,-0.46%,年線走平築底中
1504,東元,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",70.0,74.6,-6.17%,2.65%,年線走平築底中
2002,中鋼,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",19.100000381469727,19.15,-0.29%,-0.02%,年線走平築底中
2354,鴻準,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",57.900001525878906,62.41,-7.23%,-0.1%,年線走平築底中
2633,台灣高鐵,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",26.149999618530273,27.18,-3.8%,-0.5%,年線走平築底中
2812,台中銀,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",19.799999237060547,20.79,-4.77%,-0.0%,年線走平築底中
3005,神基,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",101.5,116.69,-13.02%,-0.48%,年線走平築底中
6191,精成科,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",100.5,107.84,-6.81%,1.34%,年線走平築底中
6781,AES-KY,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",1180.0,1181.9,-0.16%,1.31%,年線走平築底中
6919,康霈*,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",109.0,142.11,-23.3%,-0.15%,年線走平築底中
