代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,糾結度,量比,年線20日斜率,今日量比,動態斜率門檻,策略狀態,近10日價格波動度,未來20日扣抵均價,預估沉澱時間
1101,台泥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",23.100000381469727,23.79,-2.89%,年線下方待突破,25910672.0,3.29%,0.75x,,,,,,,
1102,亞泥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",36.400001525878906,36.5,-0.29%,年線下方待突破,25120140.0,1.62%,0.77x,,,,,,,
1216,統一,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",74.9000015258789,75.61,-0.94%,年線下方待突破,10372796.0,2.47%,1.06x,,,,,,,
1722,台肥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",48.099998474121094,48.04,0.12%,年線上方整理,1957419.0,2.32%,1.27x,,,,,,,
2002,中鋼,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",18.600000381469727,19.17,-2.96%,年線下方待突破,30052021.0,1.2%,0.64x,,,,,,,
2105,正新,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",31.700000762939453,31.78,-0.26%,年線下方待突破,24828293.0,2.48%,1.72x,,,,,,,
2206,三陽工業,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",62.0,60.9,1.81%,年線上方整理,832952.0,3.62%,0.59x,,,,,,,
2474,可成,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",201.5,198.19,1.67%,年線上方整理,5656062.0,3.26%,0.85x,,,,,,,
2615,萬海,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",78.9000015258789,80.35,-1.8%,年線下方待突破,4944729.0,3.68%,0.87x,,,,,,,
2633,台灣高鐵,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",26.399999618530273,27.13,-2.68%,年線下方待突破,6140099.0,1.89%,0.52x,,,,,,,
2912,統一超,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",228.5,234.04,-2.37%,年線下方待突破,3905086.0,1.16%,1.37x,,,,,,,
5876,上海商銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",41.849998474121094,40.87,2.41%,年線上方整理,7739559.0,4.92%,0.67x,,,,,,,
6781,AES-KY,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",1205.0,1185.87,1.61%,年線上方整理,872541.0,1.76%,0.78x,,,,,,,
8464,億豐,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",380.5,376.09,1.17%,年線上方整理,2024332.0,4.08%,1.68x,,,,,,,
9917,中保科,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",105.0,105.61,-0.58%,年線下方待突破,498917.0,4.28%,0.72x,,,,,,,
1402,遠東新,年線下上3%以內,28.399999618530273,27.69,2.55%,年線上方強勢整理,11083968.0,,,,,,,,,
1519,華城,年線下上3%以內,770.0,763.32,0.88%,年線上方強勢整理,1469253.0,,,,,,,,,
2603,長榮,年線下上3%以內,185.5,181.52,2.19%,年線上方強勢整理,6820109.0,,,,,,,,,
2915,潤泰全,年線下上3%以內,52.0,51.21,1.54%,年線上方強勢整理,2137608.0,,,,,,,,,
5880,合庫金,年線下上3%以內,24.549999237060547,23.89,2.77%,年線上方強勢整理,12911452.0,,,,,,,,,
6191,精成科,年線下上3%以內,110.0,108.57,1.32%,年線上方強勢整理,32502896.0,,,,,,,,,
1229,聯華,***底部篩選 - 左側超跌 V 轉模式 (含天量催化劑後門)***,43.099998474121094,,-5.21%,,,,,0.26%,0.94x,-0.2%,"[左側超跌]多頭拉回錯殺, 年線維持標準多頭慣性",,,
1504,東元,***底部篩選 - 左側超跌 V 轉模式 (含天量催化劑後門)***,69.0,,-8.57%,,,,,2.61%,0.5x,-0.2%,"[左側超跌]多頭拉回錯殺, 年線維持標準多頭慣性",,,
2539,櫻花建,***底部篩選 - 左側橫盤沉澱模式 (含未來 20 日扣抵預測)***,39.099998474121094,,-16.92%,,,,,-2.36%,,,"[左側沉澱] 價格已止跌 | 扣抵高價壁壘仍重, 預估至少仍需橫盤20天以上",1.25%,53.43元,"扣抵高價壁壘仍重, 預估至少仍需橫盤20天以上"
