代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,年線20日斜率,未來20日扣抵坡度,中短期糾結度,今日量比,策略狀態
1102,亞泥,年線下上3%以內,36.54999923706055,36.48,0.19%,年線上方強勢整理,11476041.0,,,,,
1216,統一,年線下上3%以內,77.80000305175781,75.58,2.93%,年線上方強勢整理,22582072.0,,,,,
1519,華城,年線下上3%以內,773.0,765.64,0.96%,年線上方強勢整理,2972344.0,,,,,
1722,台肥,年線下上3%以內,48.95000076293945,48.03,1.92%,年線上方強勢整理,3260492.0,,,,,
2002,中鋼,年線下上3%以內,19.0,19.17,-0.89%,年線下方準備突破,26155208.0,,,,,
2105,正新,年線下上3%以內,32.54999923706055,31.74,2.56%,年線上方強勢整理,14458493.0,,,,,
2474,可成,年線下上3%以內,196.0,191.41,2.4%,年線上方強勢整理,10699531.0,,,,,
2633,台灣高鐵,年線下上3%以內,26.600000381469727,27.12,-1.92%,年線下方準備突破,5320128.0,,,,,
2812,台中銀,年線下上3%以內,20.549999237060547,20.79,-1.17%,年線下方準備突破,11015626.0,,,,,
2912,統一超,年線下上3%以內,240.0,233.89,2.61%,年線上方強勢整理,4343319.0,,,,,
2915,潤泰全,年線下上3%以內,52.400001525878906,51.21,2.33%,年線上方強勢整理,1329459.0,,,,,
5876,上海商銀,年線下上3%以內,41.70000076293945,40.83,2.13%,年線上方強勢整理,7778938.0,,,,,
6191,精成科,年線下上3%以內,107.0,108.75,-1.61%,年線下方準備突破,11265135.0,,,,,
8464,億豐,年線下上3%以內,370.0,375.95,-1.58%,年線下方準備突破,512383.0,,,,,
9917,中保科,年線下上3%以內,106.0,105.61,0.37%,年線上方強勢整理,442901.0,,,,,
1229,聯華,***底部篩選 - 右側打底壓縮突破模式 (含扣抵重力釋放後門)***,43.70000076293945,,-3.92%,,,0.28%,10.53%,3.67%,1.3x,"[右側突破] 均線糾結+量能表態, 年線已實質改平"
