代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量
1102,亞泥,年線下上3%以內,36.54999923706055,36.48,0.19%,年線上方強勢整理,11462928
1216,統一,年線下上3%以內,77.80000305175781,75.58,2.93%,年線上方強勢整理,22427187
1519,華城,年線下上3%以內,773.0,765.64,0.96%,年線上方強勢整理,2818826
1722,台肥,年線下上3%以內,48.95000076293945,48.03,1.92%,年線上方強勢整理,3235232
2002,中鋼,年線下上3%以內,19.0,19.17,-0.89%,年線下方準備突破,26135342
2105,正新,年線下上3%以內,32.54999923706055,31.74,2.56%,年線上方強勢整理,14425063
2474,可成,年線下上3%以內,196.0,191.41,2.4%,年線上方強勢整理,10429484
2633,台灣高鐵,年線下上3%以內,26.600000381469727,27.12,-1.92%,年線下方準備突破,5300045
2812,台中銀,年線下上3%以內,20.549999237060547,20.79,-1.17%,年線下方準備突破,10929027
2912,統一超,年線下上3%以內,240.0,233.89,2.61%,年線上方強勢整理,4169831
2915,潤泰全,年線下上3%以內,52.400001525878906,51.21,2.33%,年線上方強勢整理,1318656
5876,上海商銀,年線下上3%以內,41.70000076293945,40.83,2.13%,年線上方強勢整理,7762556
6191,精成科,年線下上3%以內,107.0,108.75,-1.61%,年線下方準備突破,11197687
8464,億豐,年線下上3%以內,370.0,375.95,-1.58%,年線下方準備突破,507003
9917,中保科,年線下上3%以內,106.0,105.61,0.37%,年線上方強勢整理,429076
